QUARTET_TYPE	COUNT(ab|cd)	COUNT(ac|bd)	COUNT(ad|bc)
C10-C11-C2-C2	6207	60	60
C10-C11-C6-C6	2077	12	12
C10-C11-C9-C9	6246	21	21
C10-C12-C12-C12	116984	116984	116984
C10-C12-C12-C13	282	282	58210
C10-C12-C12-C14	253	253	58239
C10-C12-C12-C2	1223	1223	174253
C10-C12-C12-C3	368	368	58124
C10-C12-C12-C4	326	326	58166
C10-C12-C12-C5	398	398	58094
C10-C12-C12-C6	724	724	116260
C10-C12-C12-C7	327	327	58165
C10-C12-C12-C8	345	345	58147
C10-C12-C12-C9	1068	1068	174408
C10-C12-C2-C2	49590	546	546
C10-C12-C6-C6	16660	52	52
C10-C12-C9-C9	49945	191	191
C10-C13-C2-C2	6188	79	79
C10-C13-C6-C6	2082	7	7
C10-C13-C9-C9	6253	14	14
C10-C14-C2-C2	6196	71	71
C10-C14-C6-C6	2084	5	5
C10-C14-C9-C9	6252	15	15
C10-C2-C2-C2	2089	2089	2089
C10-C2-C2-C3	66	66	6201
C10-C2-C2-C4	69	69	6198
C10-C2-C2-C5	69	69	6198
C10-C2-C2-C6	136	136	12398
C10-C2-C2-C7	88	88	6179
C10-C2-C2-C8	78	78	6189
C10-C2-C2-C9	216	216	18585
C10-C2-C6-C6	6244	23	23
C10-C2-C9-C9	18700	101	101
C10-C3-C6-C6	2076	13	13
C10-C3-C9-C9	6241	26	26
C10-C4-C6-C6	2073	16	16
C10-C4-C9-C9	6237	30	30
C10-C5-C6-C6	2079	10	10
C10-C5-C9-C9	6238	29	29
C10-C6-C6-C7	10	10	2079
C10-C6-C6-C8	15	15	2074
C10-C6-C6-C9	37	37	6230
C10-C6-C9-C9	12481	53	53
C10-C7-C9-C9	6238	29	29
C10-C8-C9-C9	2694	3573	3573
C10-C9-C9-C9	2089	2089	2089
C11-C12-C12-C12	116984	116984	116984
C11-C12-C12-C13	213	213	58279
C11-C12-C12-C14	240	240	58252
C11-C12-C12-C2	1002	1002	174474
C11-C12-C12-C3	278	278	58214
C11-C12-C12-C4	313	313	58179
C11-C12-C12-C5	321	321	58171
C11-C12-C12-C6	733	733	116251
C11-C12-C12-C7	349	349	58143
C11-C12-C12-C8	318	318	58174
C11-C12-C12-C9	900	900	174576
C11-C12-C2-C2	49584	552	552
C11-C12-C6-C6	16623	89	89
C11-C12-C9-C9	49945	191	191
C11-C13-C2-C2	6194	73	73
C11-C13-C6-C6	2080	9	9
C11-C13-C9-C9	6252	15	15
C11-C14-C2-C2	6200	67	67
C11-C14-C6-C6	2082	7	7
C11-C14-C9-C9	6251	16	16
C11-C2-C2-C2	2089	2089	2089
C11-C2-C2-C3	58	58	6209
C11-C2-C2-C4	69	69	6198
C11-C2-C2-C5	73	73	6194
C11-C2-C2-C6	158	158	12376
C11-C2-C2-C7	90	90	6177
C11-C2-C2-C8	78	78	6189
C11-C2-C2-C9	234	234	18567
C11-C2-C6-C6	6235	32	32
C11-C2-C9-C9	18733	68	68
C11-C3-C6-C6	2072	17	17
C11-C3-C9-C9	6240	27	27
C11-C4-C6-C6	2068	21	21
C11-C4-C9-C9	6230	37	37
C11-C5-C6-C6	2076	13	13
C11-C5-C9-C9	6233	34	34
C11-C6-C6-C7	17	17	2072
C11-C6-C6-C8	18	18	2071
C11-C6-C6-C9	51	51	6216
C11-C6-C9-C9	12483	51	51
C11-C7-C9-C9	6235	32	32
C11-C8-C9-C9	2691	3576	3576
C11-C9-C9-C9	2089	2089	2089
C12-C12-C12-C13	116984	116984	116984
C12-C12-C12-C14	116984	116984	116984
C12-C12-C12-C2	350952	350952	350952
C12-C12-C12-C3	116984	116984	116984
C12-C12-C12-C4	116984	116984	116984
C12-C12-C12-C5	116984	116984	116984
C12-C12-C12-C6	233968	233968	233968
C12-C12-C12-C7	116984	116984	116984
C12-C12-C12-C8	116984	116984	116984
C12-C12-C12-C9	350952	350952	350952
C12-C12-C13-C14	58391	101	101
C12-C12-C13-C2	174835	641	641
C12-C12-C13-C3	58241	251	251
C12-C12-C13-C4	58276	216	216
C12-C12-C13-C5	58198	294	294
C12-C12-C13-C6	116515	469	469
C12-C12-C13-C7	58261	231	231
C12-C12-C13-C8	58285	207	207
C12-C12-C13-C9	174909	567	567
C12-C12-C14-C2	174754	722	722
C12-C12-C14-C3	58249	243	243
C12-C12-C14-C4	58263	229	229
C12-C12-C14-C5	58157	335	335
C12-C12-C14-C6	116433	551	551
C12-C12-C14-C7	58255	237	237
C12-C12-C14-C8	58265	227	227
C12-C12-C14-C9	174807	669	669
C12-C12-C2-C2	174892	584	584
C12-C12-C2-C3	174521	955	955
C12-C12-C2-C4	174437	1039	1039
C12-C12-C2-C5	174343	1133	1133
C12-C12-C2-C6	349015	1937	1937
C12-C12-C2-C7	174693	783	783
C12-C12-C2-C8	174569	907	907
C12-C12-C2-C9	523974	2454	2454
